447.7868, s, 89.0, degC
448.3023, s, 89.0, degC
448.8185, s, 89.0, degC
449.3342, s, 89.0, degC
449.8502, s, 89.0, degC
450.3659, s, 89.0, degC
450.8832, s, 89.0, degC
451.3978, s, 89.0, degC
451.9135, s, 89.0, degC
452.4294, s, 88.9, degC
452.9454, s, 88.9, degC
453.4609, s, 88.9, degC
453.9774, s, 88.9, degC
454.4931, s, 88.9, degC
455.0086, s, 88.9, degC
455.5247, s, 88.9, degC
456.0405, s, 88.9, degC
456.5564, s, 88.9, degC
457.0723, s, 88.8, degC
457.5881, s, 88.8, degC
458.1038, s, 88.8, degC
458.6199, s, 88.8, degC
459.1359, s, 88.8, degC
459.6517, s, 88.8, degC
460.1792, s, 88.8, degC
460.6834, s, 88.8, degC
461.1993, s, 88.8, degC
461.7151, s, 88.7, degC
462.2310, s, 88.7, degC
462.7468, s, 88.7, degC
463.2627, s, 88.7, degC
463.7787, s, 88.7, degC
464.2943, s, 88.7, degC
464.8104, s, 88.7, degC
465.3264, s, 88.6, degC
465.8421, s, 88.6, degC
466.3580, s, 88.6, degC
466.8737, s, 88.6, degC
467.3900, s, 88.6, degC
467.9059, s, 88.6, degC
468.4215, s, 88.6, degC
468.9373, s, 88.5, degC
469.4753, s, 88.5, degC
469.9691, s, 88.5, degC
470.4852, s, 88.5, degC
471.0007, s, 88.5, degC
471.5167, s, 88.5, degC
472.0328, s, 88.4, degC
472.5485, s, 88.4, degC
473.0736, s, 88.4, degC
473.5800, s, 88.4, degC
474.0962, s, 88.3, degC
474.6121, s, 88.3, degC
475.1278, s, 88.3, degC
475.6438, s, 88.3, degC
476.1594, s, 88.3, degC
476.6754, s, 88.3, degC
477.1912, s, 88.3, degC
477.7072, s, 88.3, degC
478.2231, s, 88.2, degC
478.7390, s, 88.2, degC
479.2549, s, 88.2, degC
479.7706, s, 88.2, degC
480.2865, s, 88.2, degC
480.8025, s, 88.1, degC
481.3184, s, 88.1, degC
481.8342, s, 88.1, degC
482.3698, s, 88.1, degC
482.8659, s, 88.1, degC
483.3820, s, 88.1, degC
483.8975, s, 88.1, degC
484.4134, s, 88.1, degC
484.9293, s, 88.0, degC
485.4777, s, 88.0, degC
485.9934, s, 88.0, degC
486.5092, s, 88.0, degC
487.0253, s, 88.0, degC
487.5411, s, 87.9, degC
488.0674, s, 87.9, degC
488.5729, s, 87.9, degC
489.0887, s, 87.9, degC
489.6049, s, 87.8, degC
490.1205, s, 87.8, degC
490.6363, s, 87.8, degC
491.1523, s, 87.8, degC
491.6678, s, 87.7, degC
492.1840, s, 87.7, degC
492.7000, s, 87.7, degC
493.2157, s, 87.7, degC
493.7316, s, 87.7, degC
494.2476, s, 87.6, degC
494.7634, s, 87.6, degC
495.2792, s, 87.6, degC
495.7949, s, 87.6, degC
496.3117, s, 87.6, degC
496.8270, s, 87.6, degC
497.3637, s, 87.6, degC
497.8590, s, 87.6, degC
498.3749, s, 87.5, degC
498.8904, s, 87.5, degC
499.4062, s, 87.5, degC
499.9220, s, 87.5, degC
500.4378, s, 87.5, degC
500.9617, s, 87.4, degC
501.4697, s, 87.4, degC
501.9855, s, 87.4, degC
502.5013, s, 87.4, degC
503.0173, s, 87.4, degC
503.5334, s, 87.4, degC
504.0490, s, 87.4, degC
504.5649, s, 87.4, degC
505.0809, s, 87.4, degC
505.5967, s, 87.4, degC
506.1126, s, 87.4, degC
506.6283, s, 87.3, degC
507.1443, s, 87.3, degC
507.6602, s, 87.3, degC
508.1760, s, 87.3, degC
508.6921, s, 87.3, degC
509.2077, s, 87.3, degC
509.7240, s, 87.3, degC
510.2577, s, 87.3, degC
510.7554, s, 87.3, degC
511.2711, s, 87.3, degC
511.7874, s, 87.3, degC
512.3031, s, 87.2, degC
512.8190, s, 87.2, degC
513.3347, s, 87.2, degC
513.8564, s, 87.2, degC
514.3667, s, 87.2, degC
514.8824, s, 87.2, degC
515.3984, s, 87.1, degC
515.9141, s, 87.1, degC
516.4301, s, 87.0, degC
516.9460, s, 87.0, degC
517.4618, s, 87.0, degC
517.9776, s, 87.0, degC
518.4934, s, 87.1, degC
519.0094, s, 87.1, degC
519.5254, s, 87.1, degC
520.0411, s, 87.1, degC
520.5573, s, 87.1, degC
521.0730, s, 87.1, degC
521.5889, s, 87.1, degC
522.1047, s, 87.0, degC
522.6205, s, 87.0, degC
523.1524, s, 87.0, degC
523.6522, s, 87.0, degC
524.1682, s, 86.9, degC
524.6842, s, 86.8, degC
525.1998, s, 86.8, degC
525.7160, s, 86.8, degC
526.2319, s, 86.8, degC
526.7474, s, 86.8, degC
527.2633, s, 86.9, degC
527.7795, s, 86.9, degC
528.2953, s, 86.9, degC
528.8115, s, 86.9, degC
529.3270, s, 86.9, degC
529.8429, s, 86.9, degC
530.3740, s, 86.8, degC
530.8745, s, 86.8, degC
531.3906, s, 86.8, degC
531.9062, s, 86.8, degC
532.4222, s, 86.7, degC
532.9381, s, 86.7, degC
533.4540, s, 86.7, degC
533.9727, s, 86.7, degC
534.4858, s, 86.7, degC
535.0015, s, 86.8, degC
535.5175, s, 86.8, degC
536.0332, s, 86.8, degC
536.5493, s, 86.8, degC
537.0651, s, 86.8, degC
537.5807, s, 86.7, degC
538.0967, s, 86.7, degC
538.6126, s, 86.7, degC
539.1285, s, 86.7, degC
539.6447, s, 86.7, degC
540.1602, s, 86.6, degC
540.6760, s, 86.6, degC
541.1920, s, 86.6, degC
541.7093, s, 86.6, degC
542.2238, s, 86.6, degC
542.7395, s, 86.6, degC
543.2685, s, 86.6, degC
543.7716, s, 86.6, degC
544.2872, s, 86.6, degC
544.8032, s, 86.6, degC
545.3191, s, 86.6, degC
545.8350, s, 86.5, degC
546.3509, s, 86.5, degC
546.8670, s, 86.5, degC
547.3825, s, 86.5, degC
547.8986, s, 86.5, degC
548.4143, s, 86.5, degC
548.9301, s, 86.5, degC
549.4461, s, 86.4, degC
549.9620, s, 86.4, degC
550.4780, s, 86.4, degC
550.9936, s, 86.4, degC
551.5095, s, 86.3, degC
552.0256, s, 86.3, degC
552.5413, s, 86.3, degC
553.0574, s, 86.2, degC
553.5728, s, 86.2, degC
554.0888, s, 86.1, degC
554.6048, s, 86.1, degC
555.1207, s, 86.1, degC
555.6365, s, 86.1, degC
556.1631, s, 86.2, degC
556.6684, s, 86.2, degC
557.1842, s, 86.2, degC
557.7001, s, 86.1, degC
558.2158, s, 86.1, degC
558.7317, s, 86.1, degC
559.2477, s, 86.1, degC
559.7636, s, 86.1, degC
560.2794, s, 86.1, degC
560.7952, s, 86.0, degC
561.3115, s, 86.0, degC
561.8271, s, 86.0, degC
562.3429, s, 86.0, degC
562.8587, s, 86.0, degC
563.3747, s, 86.0, degC
563.8908, s, 86.0, degC
564.4066, s, 86.0, degC
564.9222, s, 86.0, degC
565.4590, s, 86.0, degC
565.9540, s, 86.0, degC
566.4700, s, 85.9, degC
566.9857, s, 85.9, degC
567.5016, s, 85.9, degC
568.0178, s, 85.9, degC
568.5335, s, 85.9, degC
569.0579, s, 85.9, degC
569.5653, s, 85.8, degC
570.0812, s, 85.9, degC
570.5969, s, 85.9, degC
571.1128, s, 85.9, degC
571.6286, s, 85.9, degC
572.1447, s, 85.9, degC
572.6605, s, 85.8, degC
573.1762, s, 85.8, degC
573.6921, s, 85.8, degC
574.2079, s, 85.8, degC
574.7239, s, 85.8, degC
575.2400, s, 85.7, degC
575.7558, s, 85.7, degC
576.2715, s, 85.7, degC
576.7875, s, 85.7, degC
577.3033, s, 85.7, degC
